Category,Segment,Scenario,Date,Value
Urban,Convenience,Forecast,1/1/2026 0:00,120710.4406
Urban,Convenience,Forecast,1/2/2026 0:00,129923.2814
Urban,Convenience,Forecast,1/3/2026 0:00,169468.7696
Urban,Convenience,Forecast,1/4/2026 0:00,219703.7363
Urban,Convenience,Forecast,1/5/2026 0:00,333460.8569
Urban,Convenience,Forecast,1/6/2026 0:00,345230.9632
Urban,Convenience,Forecast,1/7/2026 0:00,262211.9656
Urban,Convenience,Forecast,1/8/2026 0:00,276318.0256
Urban,Convenience,Forecast,1/9/2026 0:00,351049.3899
Urban,Convenience,Forecast,1/10/2026 0:00,343660.2303
Urban,Convenience,Forecast,1/11/2026 0:00,148965.7223
Urban,Convenience,Forecast,1/12/2026 0:00,121859.4459
Urban,Convenience,Budget,1/13/2026 0:00,125587.6301
Urban,Convenience,Budget,1/14/2026 0:00,127350.5431
Urban,Convenience,Budget,1/15/2026 0:00,161079.2266
Urban,Convenience,Budget,1/16/2026 0:00,221968.7233
Urban,Convenience,Budget,1/17/2026 0:00,343268.5292
Urban,Convenience,Budget,1/18/2026 0:00,327806.3502
Urban,Convenience,Budget,1/19/2026 0:00,261009.5613
Urban,Convenience,Budget,1/20/2026 0:00,263033.5052
Urban,Convenience,Budget,1/21/2026 0:00,330989.4247
Urban,Convenience,Budget,1/22/2026 0:00,316968.1736
Urban,Convenience,Budget,1/23/2026 0:00,152101.8428
Urban,Convenience,Budget,1/24/2026 0:00,124372.0118
Urban,Convenience,Budget,1/25/2026 0:00,117052.5485
Urban,Convenience,Budget,1/26/2026 0:00,135068.7579
Urban,Convenience,Budget,10/1/2025 0:00,161079.2266
Urban,Convenience,Budget,10/2/2025 0:00,235558.6451
Urban,Convenience,Budget,10/3/2025 0:00,343268.5292
Urban,Convenience,Budget,10/4/2025 0:00,348508.4103
Urban,Convenience,Budget,10/5/2025 0:00,257019.6494
Urban,Convenience,Budget,10/6/2025 0:00,255062.7929
Urban,Convenience,Budget,10/7/2025 0:00,327646.0972
Urban,Convenience,Budget,10/8/2025 0:00,346996.7374
Urban,Convenience,Budget,10/9/2025 0:00,157979.4357
Urban,Convenience,Budget,10/10/2025 0:00,129397.1436
Urban,Extreme,Forecast,10/11/2025 0:00,20868.84072
Urban,Extreme,Forecast,10/12/2025 0:00,46971.33037
Urban,Extreme,Forecast,10/13/2025 0:00,70793.02886
Urban,Extreme,Forecast,10/14/2025 0:00,11957.87523
